query_id,verse_id,query,positive,query_language,positive_language
BG_1_1_sa_en,BG_1_1,धृतराष्ट्र उवाच |धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः |मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय |,"Dhritarashtra said: Sanjaya, gathered on the sacred soil of Kurukshetra, eager to fight, what did my children and the children of Pandu do?",sanskrit,english
BG_1_1_en_sa,BG_1_1,"Dhritarashtra said: Sanjaya, gathered on the sacred soil of Kurukshetra, eager to fight, what did my children and the children of Pandu do?",धृतराष्ट्र उवाच |धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः |मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय |,english,sanskrit
BG_1_2_sa_en,BG_1_2,सञ्जय उवाच |दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा |आचार्यमुपसंगम्य राजा वचनमब्रवीत् |,"Sanjaya said: At that time, seeing the army of the Pandavas drawn up for battle and approaching Dronacharya King Duryodhana spoke these words:",sanskrit,english
BG_1_2_en_sa,BG_1_2,"Sanjaya said: At that time, seeing the army of the Pandavas drawn up for battle and approaching Dronacharya King Duryodhana spoke these words:",सञ्जय उवाच |दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा |आचार्यमुपसंगम्य राजा वचनमब्रवीत् |,english,sanskrit
BG_1_3_sa_en,BG_1_3,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् |व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता |,"Behold, Master, the mighty army of the sons of Pandu arrayed for battle by your talented pupil, Dhristadyumna, son of Drupada.",sanskrit,english
BG_1_3_en_sa,BG_1_3,"Behold, Master, the mighty army of the sons of Pandu arrayed for battle by your talented pupil, Dhristadyumna, son of Drupada.",पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् |व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता |,english,sanskrit
BG_1_4_sa_en,BG_1_4,अत्र शूरा महेष्वासा भीमार्जुनसमा युधि |युयुधानो विराटश्च द्रुपदश्च महारथः |,"The strong Yodhamanyu and the brave Uttamaujas, the son\nof Subhadra, and the sons of Draupadi, all of great chariots",sanskrit,english
BG_1_4_en_sa,BG_1_4,"The strong Yodhamanyu and the brave Uttamaujas, the son\nof Subhadra, and the sons of Draupadi, all of great chariots",अत्र शूरा महेष्वासा भीमार्जुनसमा युधि |युयुधानो विराटश्च द्रुपदश्च महारथः |,english,sanskrit
BG_1_5_sa_en,BG_1_5,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् |पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुंगवः |,"Dhrishtaketu, chekitana and the valiant king of Kasi, Purujit and Kuntibhoja and Saibya, the best men",sanskrit,english
BG_1_5_en_sa,BG_1_5,"Dhrishtaketu, chekitana and the valiant king of Kasi, Purujit and Kuntibhoja and Saibya, the best men",धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् |पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुंगवः |,english,sanskrit
BG_1_6_sa_en,BG_1_6,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः |,"the best of men and mighty Yudhamanyu, and valiant Uttamauja, Abhimanyu, the son of Subhadra, and the five sons of Draupadi,—all of them Maharathis.",sanskrit,english
BG_1_6_en_sa,BG_1_6,"the best of men and mighty Yudhamanyu, and valiant Uttamauja, Abhimanyu, the son of Subhadra, and the five sons of Draupadi,—all of them Maharathis.",युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः |,english,sanskrit
BG_1_7_sa_en,BG_1_7,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम |नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते |,"Know also, O best among the twice-born! the names of those who are the most distinguished amongst ourselves, the leaders of my army; these I name to thee for thy information.",sanskrit,english
BG_1_7_en_sa,BG_1_7,"Know also, O best among the twice-born! the names of those who are the most distinguished amongst ourselves, the leaders of my army; these I name to thee for thy information.",अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम |नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते |,english,sanskrit
BG_1_9_sa_en,BG_1_9,अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः |नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः |,"And there are many other heroes, equipped with various weapons and missiles, who have staked their lives for me, all skilled in warfare.",sanskrit,english
BG_1_9_en_sa,BG_1_9,"And there are many other heroes, equipped with various weapons and missiles, who have staked their lives for me, all skilled in warfare.",अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः |नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः |,english,sanskrit
BG_1_10_sa_en,BG_1_10,अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् |पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् |,"This army of ours, fully protected byBhishma, is unconquerable; while that army of theirs, guarded in every way by Bhima, is easy to conquer.",sanskrit,english
BG_1_10_en_sa,BG_1_10,"This army of ours, fully protected byBhishma, is unconquerable; while that army of theirs, guarded in every way by Bhima, is easy to conquer.",अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् |पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् |,english,sanskrit
BG_1_12_sa_en,BG_1_12,तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः |सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् |,"The grand old man of the Kaurava race, their glorious grand-uncle Bhishma, cheering up Duryodhana, roared terribly like a lion and blew his conch.",sanskrit,english
BG_1_12_en_sa,BG_1_12,"The grand old man of the Kaurava race, their glorious grand-uncle Bhishma, cheering up Duryodhana, roared terribly like a lion and blew his conch.",तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः |सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् |,english,sanskrit
BG_1_13_sa_en,BG_1_13,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः |सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् |,"Then conches kettledrums tabors, drums and trumpets suddenly blared forth and the noise was tumultuous.",sanskrit,english
BG_1_13_en_sa,BG_1_13,"Then conches kettledrums tabors, drums and trumpets suddenly blared forth and the noise was tumultuous.",ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः |सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् |,english,sanskrit
BG_1_14_sa_en,BG_1_14,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ |माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः |,"Then seated in a glorious chariot drawn by white horses, Shree Krishna as well as Arjuna blew their celestial conches.",sanskrit,english
BG_1_14_en_sa,BG_1_14,"Then seated in a glorious chariot drawn by white horses, Shree Krishna as well as Arjuna blew their celestial conches.",ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ |माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः |,english,sanskrit
BG_1_16_sa_en,BG_1_16,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः |नकुलः सहदेवश्च सुघोषमणिपुष्पकौ |,"King Yudhisthira, son of Kunti, blew his conch Anantavijaya; while Nakula and Sahadeva blew theirs, known as Sughosa and Manipuspaka respectively.",sanskrit,english
BG_1_16_en_sa,BG_1_16,"King Yudhisthira, son of Kunti, blew his conch Anantavijaya; while Nakula and Sahadeva blew theirs, known as Sughosa and Manipuspaka respectively.",अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः |नकुलः सहदेवश्च सुघोषमणिपुष्पकौ |,english,sanskrit
BG_1_17_sa_en,BG_1_17,काश्यश्च परमेष्वासः शिखण्डी च महारथः |धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः |,"And the excellent archer, the King of Kasi and Sikhandi the Maharathi,",sanskrit,english
